Model,Accuracy,Sensitivity,Specificity,F1-score,MCC,AccuracyStdev,SensitivityStdev,SpecificityStdev,F1-scoreStdev,MCCStdev
SVM-US blind,0.854112554112554,0.8977346278317152,0.7660130718954248,0.8916470646152077,0.6690202997849773,0.007238633754486063,0.009875588930879295,0.02070152459589975,0.005391228766254668,0.016754082779151254
RF-US blind,0.8616883116883116,0.9016181229773463,0.7810457516339869,0.8969691479240498,0.687198324982795,0.012368382806035451,0.0175689709538626,0.00761094202771743,0.010064701701652435,0.025583273767344882
NB-US blind,0.8551948051948052,0.9262135922330097,0.711764705882353,0.8953292694875978,0.6653644363560245,0.008366297874496807,0.010846011684480733,0.008131937785618685,0.006480903193296576,0.01912310018995298
MLP-US blind,0.8489177489177488,0.886084142394822,0.7738562091503268,0.8866445755665616,0.6631959338323485,0.007821014573600845,0.01566289549489107,0.035655376985583936,0.005843135209291985,0.01993877470639077
SVM-No-US blind,0.8532467532467533,0.8970873786407767,0.7647058823529411,0.8909519368951545,0.6673095545919959,0.01086571463031267,0.021270778932239453,0.02401460532140371,0.009082911244428187,0.02298658430525488
RF-No-US blind,0.8350649350649351,0.970873786407767,0.5607843137254902,0.8873844504862533,0.6193650563864005,0.01926285321323545,0.009708737864077666,0.04921529567847501,0.012241218189233459,0.04856442481246879
NB-No-US blind,0.8233766233766234,0.9436893203883495,0.5803921568627451,0.8772868756144937,0.5860876119365171,0.011615937545453465,0.004341879567960755,0.029736766447260934,0.007421593092342178,0.029061016374283988
MLP-No-US blind,0.8571428571428571,0.9864077669902913,0.596078431372549,0.9024246003972456,0.6773449505067584,0.016555258161015517,0.005317694733059863,0.05816626264388755,0.009818103717435684,0.03663828422227213
