Activation,Layers,Learning_rate,Accuracy,Sensitivity,Specificity
logistic,"(10,10)",0.001,0.8104705971036085,0.8082590612002377,0.8126856803327391
logistic,"(25,25)",0.0001,0.8059541862878121,0.8073083778966131,0.804931669637552
logistic,"(50,50)",0.01,0.818030835129167,0.8183006535947713,0.8177956030897208
logistic,"(10,10)",0.0001,0.7884736300671332,0.8389780154486036,0.737225193107546
logistic,"(75,75)",0.01,0.8160625127482021,0.8116161616161617,0.8207664884135473
logistic,"(100,100)",0.01,0.8170652973989235,0.8272430184194891,0.8068330362448011
logistic,"(75,75)",1e-05,0.5034901251319162,1.0,0.00202020202020202
logistic,"(50,50)",0.001,0.8316448062716719,0.8264408793820559,0.8368092691622104
logistic,"(75,75)",0.001,0.8290151293443655,0.8302436125965538,0.827807486631016
logistic,"(100,100)",0.001,0.8325207740264808,0.8382352941176471,0.826678550207962
logistic,"(50,50)",0.0001,0.8244692313831911,0.8321746880570409,0.8169043374925727
logistic,"(75,75)",0.0001,0.8234815228669489,0.830273321449792,0.8168152109328579
logistic,"(100,100)",0.0001,0.8279970468513049,0.8421865715983364,0.813784907902555
logistic,"(50,50)",1e-05,0.8113973359583544,0.8231134878193701,0.7998514557338088
logistic,"(100,100)",1e-05,0.8139520756289852,0.8211527035056446,0.8069221628045158

relu,"(50,10)",0.01,0.82157328331604,0.8162507427213309,0.8270944741532976
relu,"(50,10)",0.001,0.8111241918748503,0.8551396316102197,0.766726084373143
relu,"(50,10)",1e-05,0.7729487588793998,0.8767082590612003,0.6684491978609626
relu,"(50,10)",0.0001,0.8053968127278047,0.8741532976827094,0.7363636363636363
relu,"(100,20)",0.01,0.8185354422184976,0.81301247771836,0.8239750445632797
relu,"(250,50)",0.01,0.8289849770754074,0.8273321449792038,0.8307189542483661
relu,"(100,20)",0.001,0.8229248144305212,0.8409387997623292,0.8044563279857396
relu,"(200,40)",0.01,0.8225538971807628,0.8502079619726679,0.7945335710041591
relu,"(150,30)",0.001,0.8174814430521192,0.8413547237076648,0.79349376114082
relu,"(250,50)",0.001,0.8239426752157217,0.8324123588829471,0.8155080213903743
relu,"(150,30)",0.01,0.8225170936760051,0.8342543077837196,0.8106357694592989
relu,"(300,60)",0.01,0.8146593237023438,0.8232620320855615,0.8060308972073678
relu,"(200,40)",0.001,0.8230740238202925,0.8296197266785502,0.8166963755199049
relu,"(300,60)",0.001,0.8250042124493397,0.8073380867498514,0.8428401663695783
relu,"(150,30)",0.0001,0.8324167930401468,0.8310754604872251,0.8338086749851458
relu,"(100,20)",0.0001,0.8269510291678861,0.8391562685680333,0.8146761734997029
relu,"(250,50)",0.0001,0.839538936334371,0.8431075460487225,0.8357991681521094
relu,"(200,40)",0.0001,0.8309983061519497,0.8390968508615567,0.8227272727272728
relu,"(100,20)",1e-05,0.7968734757584626,0.8231134878193701,0.7704396910279264
relu,"(200,40)",1e-05,0.8324163496244267,0.8510992275698158,0.8136363636363636
relu,"(300,60)",0.0001,0.8299731290073695,0.8279857397504456,0.8318181818181817
relu,"(150,30)",1e-05,0.8248924716879062,0.8361853832442067,0.8136066547831254
relu,"(250,50)",1e-05,0.8199390746800755,0.833184789067142,0.8067439096850862
relu,"(300,60)",1e-05,0.8090370340809322,0.8232620320855615,0.7947415329768271

logistic,"(50,10)",1e-05,0.5044860368389781,0.013874034462269758,1.0
logistic,"(50,10)",0.01,0.8119999379217991,0.8251931075460487,0.7987522281639929
logistic,"(50,10)",0.001,0.8280050283342645,0.8282531194295899,0.8277183600713013
logistic,"(50,10)",0.0001,0.8199683401175939,0.830273321449792,0.809863339275104
logistic,"(100,20)",0.01,0.8110873883700925,0.7986333927510398,0.8238265002970886
logistic,"(300,60)",0.01,0.8085621358448399,0.8053475935828877,0.8120617944147356
logistic,"(200,40)",0.01,0.816010411401105,0.8191325014854427,0.8129233511586453
logistic,"(250,50)",0.01,0.8140128235826216,0.8201723113487819,0.8080213903743315
logistic,"(150,30)",0.01,0.8084874202960243,0.8290255496137849,0.7877302436125966
logistic,"(100,20)",0.001,0.8239428969235818,0.825103980986334,0.8226381461675579
logistic,"(300,60)",0.001,0.829520623265136,0.8442661913250148,0.8145573380867498
logistic,"(250,50)",0.001,0.8330260462393912,0.835323826500297,0.8308080808080809
logistic,"(200,40)",0.001,0.8284732753345571,0.8322638146167557,0.8245989304812834
logistic,"(150,30)",0.001,0.8285180603222746,0.8460487225193107,0.8106951871657754
logistic,"(100,20)",1e-05,0.7433622883798477,0.9115864527629234,0.5734699940582293
logistic,"(100,20)",0.0001,0.8149776961892855,0.8103683897801544,0.8198158051099229
logistic,"(150,30)",0.0001,0.8209638084089358,0.8312240047534165,0.8107248960190135
logistic,"(200,40)",0.0001,0.8304777360967002,0.8421865715983362,0.8186868686868687
logistic,"(300,60)",0.0001,0.8314880588146613,0.8401663695781343,0.8226975638740344
logistic,"(250,50)",0.0001,0.8330032103298127,0.8421271538918598,0.8237967914438503
logistic,"(200,40)",1e-05,0.8134102216191769,0.8281937017231135,0.7988413547237077
logistic,"(150,30)",1e-05,0.8093990830162912,0.8341057635175283,0.7847890671420084
logistic,"(300,60)",1e-05,0.8109297540816417,0.8172014260249553,0.8049019607843139
logistic,"(250,50)",1e-05,0.8134099999113169,0.8351158645276291,0.7918300653594773

relu,"(50,15)",0.01,0.8249600925852022,0.8281045751633987,0.8217171717171716
relu,"(25,8)",0.01,0.828353774798024,0.8321746880570409,0.8248068924539513
relu,"(50,15)",0.001,0.8120081411126187,0.8341948900772431,0.7897504456327985
relu,"(25,8)",0.001,0.811096700100212,0.7913250148544266,0.8306001188354131
relu,"(25,8)",0.0001,0.5024875621890547,1.0,0.0
relu,"(50,15)",0.0001,0.8239431186314418,0.8270944741532977,0.8207070707070706
relu,"(50,15)",1e-05,0.8045223969280159,0.8311348781937018,0.7776589423648247
relu,"(25,8)",1e-05,0.5019825116840042,0.998989898989899,0.0
relu,"(100,30)",0.01,0.8209199102526584,0.86301247771836,0.7782828282828284
relu,"(100,30)",0.001,0.8225237449118046,0.853802733214498,0.7908793820558526
relu,"(150,45)",0.01,0.8123865964296165,0.7881164587046939,0.837106357694593
relu,"(300,90)",0.001,0.792310949707789,0.83544266191325,0.7489007724301842
relu,"(200,60)",0.01,0.825034808134018,0.8442067736185382,0.8057338086749851
relu,"(150,45)",0.001,0.807446945309105,0.8226084373143197,0.7924539512774808
relu,"(300,90)",0.01,0.8165453924672538,0.8382352941176471,0.794622697563874
relu,"(200,60)",0.001,0.8215307154069227,0.8162804515745692,0.8266488413547236
relu,"(250,75)",0.01,0.8189957077358305,0.8330362448009508,0.8047237076648841
relu,"(250,75)",0.001,0.8190943677335248,0.8541592394533569,0.7836304218657159
relu,"(100,30)",0.0001,0.8344888746995859,0.8480689245395129,0.8207961972667857
relu,"(100,30)",1e-05,0.8250627433243763,0.8660427807486631,0.7839869281045752
relu,"(250,75)",0.0001,0.8350160959906351,0.8481283422459892,0.8216874628639336
relu,"(300,90)",0.0001,0.8295576484777539,0.8284016636957814,0.8308377896613192
relu,"(200,60)",0.0001,0.8355736912585024,0.8362745098039216,0.8347890671420083
relu,"(150,45)",0.0001,0.8264231427532569,0.8440285204991088,0.8087344028520498
relu,"(200,60)",1e-05,0.8219442005657984,0.8352644087938206,0.8087046939988117
relu,"(150,45)",1e-05,0.7903060455299261,0.8161616161616162,0.7644979203802733
relu,"(250,75)",1e-05,0.8245069217193888,0.8372549019607843,0.8118538324420678
relu,"(300,90)",1e-05,0.8264377754720159,0.8250742721330955,0.8278371954842543

logistic,"(25,8)",1e-05,0.5024875621890547,1.0,0.0
logistic,"(50,15)",0.01,0.8184984170058796,0.8280154486036838,0.8087344028520499
logistic,"(25,8)",0.01,0.824075699931714,0.8142602495543673,0.8339869281045752
logistic,"(50,15)",1e-05,0.517193444541996,0.9990196078431373,0.030392156862745098
logistic,"(50,15)",0.001,0.8280872819503197,0.8251931075460487,0.8308972073677956
logistic,"(25,8)",0.001,0.8235347327533455,0.824331550802139,0.8227272727272726
logistic,"(50,15)",0.0001,0.818988613084311,0.8262626262626261,0.8118835412953059
logistic,"(25,8)",0.0001,0.8145096708968528,0.8153297682709447,0.8139631610219845
logistic,"(100,30)",0.01,0.8234821879905286,0.8219251336898395,0.8250742721330956
logistic,"(100,30)",1e-05,0.4975124378109453,0.0,1.0
logistic,"(150,45)",0.01,0.8111017993809918,0.8151515151515151,0.8068924539512774
logistic,"(200,60)",0.01,0.8144580129654756,0.8122400475341651,0.8166666666666668
logistic,"(250,75)",0.01,0.8109825205523187,0.8307486631016042,0.791027926322044
logistic,"(300,90)",0.01,0.8139602788198048,0.819399881164587,0.8087641117052882
logistic,"(100,30)",0.001,0.8250126373480192,0.832293523469994,0.8178847296494355
logistic,"(300,90)",0.001,0.8324910651732425,0.8362448009506833,0.8287878787878787
logistic,"(250,75)",0.001,0.8270328393682213,0.8430481283422459,0.8107843137254901
logistic,"(200,60)",0.001,0.8335381913959613,0.8401960784313726,0.8266488413547238
logistic,"(150,45)",0.001,0.834058539743351,0.8440879382055853,0.8238562091503269
logistic,"(100,30)",0.0001,0.8224864979913268,0.826232917409388,0.8188057040998217
logistic,"(150,45)",0.0001,0.8239420100921419,0.8362150920974449,0.8117052881758763
logistic,"(300,90)",0.0001,0.8349708675871977,0.8451574569221627,0.8247771836007131
logistic,"(250,75)",0.0001,0.8324680075558039,0.8461081402257872,0.8187462863933453
logistic,"(200,60)",0.0001,0.8320004256790913,0.8382055852644088,0.825787284610814
logistic,"(150,45)",1e-05,0.8123923608339764,0.8311051693404634,0.793820558526441
logistic,"(300,90)",1e-05,0.8119247789572636,0.8221628045157456,0.801901366607249
logistic,"(200,60)",1e-05,0.8108922854533039,0.8291146761734997,0.7928104575163398
logistic,"(250,75)",1e-05,0.8078994510513385,0.8182115270350563,0.7978312537136066

