Attribute,f-value,p-value
FEV1PreVal,1.067,0.302
FEV1PrePercent,25.482,5.17E-07
FEV1PostVal,0.124,0.724
FEV1PostPercent,8.885,2.93E-03
FVCPreVal,35.372,3.59E-09
FVCPrePercent,23.270,1.59E-06
FVCPostVal,62.038,7.65E-15
FVCPostPercent,59.087,3.18E-14
FEFPreVal,218.023,2.26E-45
FEFPrePercent,429.515,1.61E-81
FEFPostVal,169.725,2.50E-36
FEFPostPercent,334.643,6.07E-66
