Pos_Threshold,Pos_Density,Neg_Threshold,Neg_Density
-2.60827314140018,2.95420233044634E-12,-2.60827314140018,0.040676876057461
-2.60285367796816,3.48464597807644E-12,-2.60285367796816,0.04167143242045
-2.59743421453614,4.10784443598554E-12,-2.59743421453614,0.04268527782629
-2.59201475110412,4.83956394116975E-12,-2.59201475110412,0.043718883228268
-2.5865952876721,5.69817013209494E-12,-2.5865952876721,0.044772732181287
-2.58117582424008,6.70504267333672E-12,-2.58117582424008,0.045847320160393
-2.57575636080806,7.88505366585562E-12,-2.57575636080806,0.046943153794405
-2.57033689737604,9.26711927068603E-12,-2.57033689737604,0.048060750014045
-2.56491743394402,1.08848353061107E-11,-2.56491743394402,0.049200635114283
-2.559497970512,1.27772090895536E-11,-2.559497970512,0.050363343730975
-2.55407850707998,1.49895015080607E-11,-2.55407850707998,0.051549417732168
-2.54865904364796,1.75741952406299E-11,-2.54865904364796,0.052759405024835
-2.54323958021594,2.05921072500115E-11,-2.54323958021594,0.053993858278137
-2.53782011678392,2.41136661423929E-11,-2.53782011678392,0.055253333564685
-2.5324006533519,2.82203777956945E-11,-2.5324006533519,0.056538388921637
-2.52698118991988,3.30065058200439E-11,-2.52698118991988,0.057849582833841
-2.52156172648786,3.85809969807887E-11,-2.52156172648786,0.059187472641607
-2.51614226305584,4.50696857333794E-11,-2.51614226305584,0.060552612876057
-2.51072279962382,5.26178165440678E-11,-2.51072279962382,0.061945553525402
-2.5053033361918,6.13929277600209E-11,-2.5053033361918,0.06336683823583
-2.49988387275978,7.15881465127429E-11,-2.49988387275978,0.064817002451083
-2.49446440932776,8.34259505623623E-11,-2.49446440932776,0.06629657149516
-2.48904494589574,9.71624601976723E-11,-2.48904494589574,0.067806058602923
-2.48362548246372,1.13092331386374E-10,-2.48362548246372,0.069345962903751
-2.4782060190317,1.31554330419644E-10,-2.4782060190317,0.070916767363706
-2.47278655559968,1.529376804224E-10,-2.47278655559968,0.072518936692012
-2.46736709216766,1.77689281424051E-10,-2.46736709216766,0.074152915217967
-2.46194762873564,2.0632191833419E-10,-2.46194762873564,0.075819124744675
-2.45652816530362,2.39423585286373E-10,-2.45652816530362,0.077517962386319
-2.4511087018716,2.77668070557719E-10,-2.4511087018716,0.079249798395914
-2.44568923843957,3.21826963813683E-10,-2.44568923843957,0.081014973990744
-2.44026977500755,3.72783266954185E-10,-2.44026977500755,0.08281379918294
-2.43485031157553,4.31546811553498E-10,-2.43485031157553,0.084646550622804
-2.42943084814351,4.99271710016424E-10,-2.42943084814351,0.086513469462728
-2.42401138471149,5.77276094360427E-10,-2.42401138471149,0.088414759249674
-2.41859192127947,6.67064426242758E-10,-2.41859192127947,0.090350583854346
-2.41317245784745,7.70352694772269E-10,-2.41317245784745,0.092321065445258
-2.40775299441543,8.89096855089388E-10,-2.40775299441543,0.094326282516033
-2.40233353098341,1.02552490100509E-09,-2.40233353098341,0.096366267974266
-2.39691406755139,1.1821730095273E-09,-2.39691406755139,0.098441007300356
-2.39149460411937,1.36192624426806E-09,-2.39149460411937,0.100550436784688
-2.38607514068735,1.56806435894659E-09,-2.38607514068735,0.102694441851493
-2.38065567725533,1.80431330194308E-09,-2.38065567725533,0.104872855477691
-2.37523621382331,2.07490308861409E-09,-2.37523621382331,0.107085456714883
-2.36981675039129,2.38463278038779E-09,-2.36981675039129,0.10933196932255
-2.36439728695927,2.73894338908786E-09,-2.36439728695927,0.111612060520356
-2.35897782352725,3.14399961210711E-09,-2.35897782352725,0.113925339867242
-2.35355836009523,3.60678139961906E-09,-2.35355836009523,0.116271358274792
-2.34813889666321,4.13518645968427E-09,-2.34813889666321,0.118649607162075
-2.34271943323119,4.73814492162436E-09,-2.34271943323119,0.121059517758887
-2.33729996979917,5.42574750319665E-09,-2.33729996979917,0.123500460563977
-2.33188050636715,6.20938866375621E-09,-2.33188050636715,0.125971744964517
-2.32646104293513,7.10192637463086E-09,-2.32646104293513,0.128472619022635
-2.32104157950311,8.11786030031345E-09,-2.32104157950311,0.131002269434471
-2.31562211607109,9.2735303607936E-09,-2.31562211607109,0.133559821666713
-2.31020265263907,1.05873378374627E-08,-2.31020265263907,0.136144340275144
-2.30478318920705,1.20799913936459E-08,-2.30478318920705,0.138754829409161
-2.29936372577503,1.37747806071003E-08,-2.29936372577503,0.141390233505757
-2.29394426234301,1.56978798569978E-08,-2.29394426234301,0.144049438175854
-2.28852479891099,1.78786856732381E-08,-2.28852479891099,0.146731271285302
-2.28310533547897,2.03501909427572E-08,-2.28310533547897,0.149434504232253
-2.27768587204695,2.31493996771595E-08,-2.27768587204695,0.152157853421992
-2.27226640861493,2.63177863799411E-08,-2.27226640861493,0.154899981939636
-2.26684694518291,2.99018044112422E-08,-2.26684694518291,0.15765950142049
-2.26142748175089,3.39534481349876E-08,-2.26142748175089,0.160434974117101
-2.25600801831887,3.85308740489478E-08,-2.25600801831887,0.163224915161415
-2.25058855488685,4.36990865443088E-08,-2.25058855488685,0.166027795019693
-2.24516909145483,4.95306944192817E-08,-2.24516909145483,0.16884204213715
-2.23974962802281,5.61067447828226E-08,-2.23974962802281,0.171666045768525
