 #_estimators,Max_depth, Max_features, Accuracy, Sensitivity, Specificity, Accuracy, Sensitivity, Specificity
30,8,0.3,0.8110,0.82,0.80,0.8632,0.90,0.79
30,8,0.4,0.8105,0.83,0.79,0.8597,0.89,0.79
30,8,0.5,0.8105,0.82,0.80,0.8587,0.89,0.80
30,8,0.6,0.8080,0.82,0.80,0.8558,0.89,0.79
30,8,0.7,0.8090,0.81,0.80,0.8576,0.89,0.80
30,8, None,0.8120,0.82,0.81,0.8563,0.88,0.81
30,16, 'auto',0.8170,0.82,0.81,0.8626,0.89,0.80
30,16,0.3,0.8170,0.82,0.81,0.8626,0.89,0.80
30,16,0.4,0.8085,0.81,0.81,0.8550,0.88,0.80
30,16,0.5,0.8096,0.82,0.80,0.8578,0.88,0.81
30,16,0.6,0.8090,0.82,0.80,0.8539,0.88,0.80
30,16,0.7,0.8085,0.81,0.81,0.8571,0.88,0.81
30,16, None,0.8125,0.81,0.82,0.8567,0.88,0.82
30,None, 'auto',0.8170,0.82,0.81,0.8626,0.89,0.80
30,None,0.3,0.8170,0.82,0.81,0.8626,0.89,0.80
30,None,0.4,0.8085,0.81,0.81,0.8550,0.88,0.80
30,None,0.5,0.8096,0.82,0.80,0.8578,0.88,0.81
30,None,0.6,0.8090,0.82,0.80,0.8539,0.88,0.80
30,None,0.7,0.8085,0.81,0.81,0.8571,0.88,0.81
30,None, None,0.8125,0.81,0.82,0.8567,0.88,0.82
