 #_estimators,Max_depth, Max_features,Threshold, Accuracy, Sensitivity, Specificity, Accuracy, Sensitivity, Specificity
20,None,0.7,0.6,0.6031,0.60,0.60,0.5590,0.53,0.61
20,None, None,0.6,0.5833,0.59,0.57,0.5727,0.56,0.60
30,4, 'auto',0.55,0.5721,0.52,0.66,0.5614,0.49,0.70
30,4,0.3,0.55,0.5542,0.48,0.67,0.5486,0.47,0.70
30,4,0.4,0.55,0.5610,0.51,0.64,0.5526,0.50,0.65
30,4,0.5,0.55,0.5851,0.54,0.66,0.5735,0.53,0.66
30,4,0.6,0.55,0.5758,0.53,0.65,0.5526,0.51,0.63
30,4,0.7,0.55,0.5789,0.53,0.66,0.5639,0.51,0.66
30,4, None,0.55,0.5826,0.55,0.64,0.5743,0.54,0.64
30,8, 'auto',0.55,0.5944,0.62,0.55,0.5984,0.61,0.58
30,8,0.3,0.55,0.6148,0.65,0.56,0.6088,0.61,0.60
30,8,0.4,0.55,0.6080,0.66,0.53,0.6112,0.64,0.56
30,8,0.5,0.55,0.6049,0.65,0.54,0.6096,0.63,0.58
30,8,0.6,0.55,0.6074,0.65,0.54,0.5888,0.61,0.55
30,8,0.7,0.55,0.5987,0.62,0.56,0.6016,0.63,0.55
30,8, None,0.6,0.5783,0.53,0.66,0.5454,0.49,0.65
30,16, 'auto',0.6,0.5926,0.64,0.52,0.6024,0.60,0.60
30,16,0.3,0.65,0.5783,0.54,0.64,0.5406,0.48,0.66
30,16,0.4,0.6,0.6018,0.64,0.54,0.5936,0.60,0.58
30,16,0.5,0.65,0.5783,0.54,0.64,0.5542,0.48,0.70
30,16,0.6,0.6,0.6018,0.62,0.57,0.5847,0.58,0.59
30,16,0.7,0.6,0.6087,0.64,0.56,0.5855,0.60,0.57
30,16, None,0.6,0.6056,0.63,0.56,0.5727,0.57,0.57
30,None, 'auto',0.6,0.5851,0.60,0.56,0.5896,0.59,0.60
30,None,0.3,0.6,0.5987,0.62,0.57,0.6000,0.59,0.62
30,None,0.4,0.6,0.6056,0.63,0.57,0.5767,0.57,0.60
30,None,0.5,0.6,0.6037,0.63,0.57,0.5888,0.58,0.60
30,None,0.6,0.6,0.5963,0.60,0.59,0.5904,0.58,0.61
30,None,0.7,0.6,0.6037,0.62,0.58,0.5863,0.58,0.60
30,None, None,0.6,0.5981,0.63,0.55,0.5775,0.56,0.61
