FPR, TPR0 AUC = 0.658, TPR1 AUC = 0.6275, TPR2 AUC = 0.6769, TPR3 AUC = 0.6884, TPR4 AUC = 0.5621, Mean TPR AUC = 0.6424 (+/- 0.0452)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.010101010101010102, 0.07537688442211055, 0.0, 0.0, 0.13131313131313133, 0.0, 0.04133800314704837
0.020202020202020204, 0.08040201005025126, 0.030303030303030304, 0.005050505050505051, 0.13636363636363635, 0.010101010101010102, 0.05244403837368662
0.030303030303030304, 0.08040201005025126, 0.03535353535353535, 0.005050505050505051, 0.14646464646464646, 0.020202020202020204, 0.05749454342419167
0.04040404040404041, 0.09547738693467336, 0.09090909090909091, 0.020202020202020204, 0.14646464646464646, 0.050505050505050504, 0.08071163900309627
0.05050505050505051, 0.10552763819095477, 0.09090909090909091, 0.06060606060606061, 0.16161616161616163, 0.0707070707070707, 0.09787320440586773
0.06060606060606061, 0.11055276381909548, 0.09090909090909091, 0.08585858585858586, 0.18181818181818182, 0.09595959595959595, 0.11301964367291
0.07070707070707072, 0.12562814070351758, 0.09090909090909091, 0.08585858585858586, 0.18686868686868688, 0.10101010101010101, 0.11805492106999645
0.08080808080808081, 0.19095477386934673, 0.11616161616161616, 0.09090909090909091, 0.21717171717171718, 0.10101010101010101, 0.1432414598243744
0.09090909090909091, 0.19095477386934673, 0.11616161616161616, 0.10101010101010101, 0.2777777777777778, 0.15151515151515152, 0.16748388406679865
0.10101010101010102, 0.22110552763819097, 0.13131313131313133, 0.11616161616161616, 0.2828282828282828, 0.15656565656565657, 0.18159484290137556
0.11111111111111112, 0.22110552763819097, 0.1414141414141414, 0.13636363636363635, 0.30808080808080807, 0.15656565656565657, 0.19270595401248666
0.12121212121212122, 0.24623115577889448, 0.16161616161616163, 0.18686868686868688, 0.3181818181818182, 0.16161616161616163, 0.21490279681234453
0.13131313131313133, 0.2562814070351759, 0.16666666666666666, 0.20707070707070707, 0.3282828282828283, 0.16666666666666666, 0.2249936551444089
0.14141414141414144, 0.2613065326633166, 0.16666666666666666, 0.2676767676767677, 0.3383838383838384, 0.1717171717171717, 0.2411501954215522
0.15151515151515152, 0.2613065326633166, 0.16666666666666666, 0.29292929292929293, 0.3383838383838384, 0.18686868686868688, 0.2492310035023603
0.16161616161616163, 0.2914572864321608, 0.2222222222222222, 0.3787878787878788, 0.3838383838383838, 0.21717171717171718, 0.29869549769047254
0.17171717171717174, 0.3316582914572864, 0.23232323232323232, 0.3787878787878788, 0.3888888888888889, 0.21717171717171718, 0.3097660017258007
0.18181818181818182, 0.3316582914572864, 0.24242424242424243, 0.40404040404040403, 0.40404040404040403, 0.25757575757575757, 0.3279478199076189
0.19191919191919193, 0.3316582914572864, 0.24242424242424243, 0.40404040404040403, 0.40404040404040403, 0.25757575757575757, 0.3279478199076189
0.20202020202020204, 0.3768844221105528, 0.2878787878787879, 0.4292929292929293, 0.41919191919191917, 0.2727272727272727, 0.35719506624029235
0.21212121212121213, 0.3768844221105528, 0.2878787878787879, 0.4393939393939394, 0.42424242424242425, 0.2727272727272727, 0.3602253692705954
0.22222222222222224, 0.39195979899497485, 0.29292929292929293, 0.4393939393939394, 0.4292929292929293, 0.30808080808080807, 0.37233135373838894
0.23232323232323235, 0.41708542713567837, 0.35353535353535354, 0.4393939393939394, 0.4292929292929293, 0.30808080808080807, 0.38947769148774175
0.24242424242424243, 0.41708542713567837, 0.35353535353535354, 0.4696969696969697, 0.4696969696969697, 0.3383838383838384, 0.4096797116897619
0.25252525252525254, 0.4271356783919598, 0.36363636363636365, 0.5454545454545454, 0.4696969696969697, 0.3434343434343434, 0.42987158012283644
0.26262626262626265, 0.44221105527638194, 0.3686868686868687, 0.5505050505050505, 0.51010101010101, 0.3434343434343434, 0.4429876656007309
0.27272727272727276, 0.4824120603015075, 0.4090909090909091, 0.6161616161616161, 0.5303030303030303, 0.3484848484848485, 0.4772904928683824
0.2828282828282829, 0.5125628140703518, 0.4444444444444444, 0.6212121212121212, 0.5353535353535354, 0.36363636363636365, 0.4954418557433633
0.29292929292929293, 0.5226130653266332, 0.47474747474747475, 0.6313131313131313, 0.5656565656565656, 0.3838383838383838, 0.5156337241764377
0.30303030303030304, 0.5628140703517588, 0.5050505050505051, 0.6313131313131313, 0.5858585858585859, 0.3838383838383838, 0.5337749352824729
0.31313131313131315, 0.5628140703517588, 0.5151515151515151, 0.6363636363636364, 0.5909090909090909, 0.3939393939393939, 0.5398355413430791
0.32323232323232326, 0.5829145728643216, 0.5252525252525253, 0.6363636363636364, 0.5909090909090909, 0.40404040404040403, 0.5478960458859956
0.33333333333333337, 0.5979899497487438, 0.5252525252525253, 0.6464646464646465, 0.6060606060606061, 0.42424242424242425, 0.5600020303537891
0.3434343434343435, 0.5979899497487438, 0.5555555555555556, 0.6565656565656566, 0.6262626262626263, 0.4494949494949495, 0.5771737475255063
0.3535353535353536, 0.6130653266331658, 0.5707070707070707, 0.6565656565656566, 0.6363636363636364, 0.45454545454545453, 0.5862494289629968
0.36363636363636365, 0.6180904522613065, 0.5757575757575758, 0.6565656565656566, 0.6515151515151515, 0.4595959595959596, 0.5923049591391301
0.37373737373737376, 0.628140703517588, 0.5757575757575758, 0.6565656565656566, 0.6515151515151515, 0.4595959595959596, 0.5943150093903864
0.38383838383838387, 0.628140703517588, 0.5909090909090909, 0.6616161616161617, 0.6515151515151515, 0.4595959595959596, 0.5983554134307904
