FPR, TPR0 AUC = 0.9128 (+/- 0.0528), TPR1 AUC = 0.8843 (+/- 0.0516), TPR2 AUC = 0.9179 (+/- 0.0316), TPR3 AUC = 0.9108 (+/- 0.0351), TPR4 AUC = 0.9049 (+/- 0.0255), TPR5 AUC = 0.903 (+/- 0.0211), Mean TPR AUC = 0.9056 (+/- 0.0107)
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
0.010101010101010102, 0.4340463458110516, 0.39821746880570413, 0.44563279857397503, 0.4579322638146168, 0.4696969696969697, 0.4397504456327986, 0.4408793820558527
0.020202020202020204, 0.4340463458110516, 0.39821746880570413, 0.44563279857397503, 0.4579322638146168, 0.4696969696969697, 0.4397504456327986, 0.4408793820558527
0.030303030303030304, 0.6130124777183601, 0.5470588235294118, 0.558288770053476, 0.7083778966131907, 0.6003565062388592, 0.6122994652406417, 0.6065656565656566
0.04040404040404041, 0.6130124777183601, 0.5470588235294118, 0.558288770053476, 0.7083778966131907, 0.6003565062388592, 0.6122994652406417, 0.6065656565656566
0.05050505050505051, 0.6130124777183601, 0.5470588235294118, 0.558288770053476, 0.7083778966131907, 0.6003565062388592, 0.6122994652406417, 0.6065656565656566
0.06060606060606061, 0.6789661319073084, 0.5834224598930481, 0.7016042780748662, 0.7377896613190731, 0.654367201426025, 0.6657754010695187, 0.6703208556149732
0.07070707070707072, 0.6789661319073084, 0.5834224598930481, 0.7016042780748662, 0.7377896613190731, 0.654367201426025, 0.6657754010695187, 0.6703208556149732
0.08080808080808081, 0.6789661319073084, 0.5834224598930481, 0.7016042780748662, 0.7377896613190731, 0.654367201426025, 0.6657754010695187, 0.6703208556149732
0.09090909090909091, 0.7263814616755793, 0.6545454545454545, 0.7855614973262032, 0.7675579322638146, 0.7201426024955436, 0.7493761140819964, 0.7339275103980986
0.10101010101010102, 0.7263814616755793, 0.6545454545454545, 0.7855614973262032, 0.7675579322638146, 0.7201426024955436, 0.7493761140819964, 0.7339275103980986
0.11111111111111112, 0.7263814616755793, 0.6545454545454545, 0.7855614973262032, 0.7675579322638146, 0.7201426024955436, 0.7493761140819964, 0.7339275103980986
0.12121212121212122, 0.7623885918003565, 0.6966131907308377, 0.8213903743315509, 0.7734402852049911, 0.7793226381461675, 0.790909090909091, 0.7706773618538324
0.13131313131313133, 0.7623885918003565, 0.6966131907308377, 0.8213903743315509, 0.7734402852049911, 0.7793226381461675, 0.790909090909091, 0.7706773618538324
0.14141414141414144, 0.7623885918003565, 0.6966131907308377, 0.8213903743315509, 0.7734402852049911, 0.7793226381461675, 0.790909090909091, 0.7706773618538324
0.15151515151515152, 0.8276292335115866, 0.7677361853832443, 0.8754010695187165, 0.809090909090909, 0.7853832442067736, 0.8149732620320856, 0.8133689839572193
0.16161616161616163, 0.8276292335115866, 0.7677361853832443, 0.8754010695187165, 0.809090909090909, 0.7853832442067736, 0.8149732620320856, 0.8133689839572193
0.17171717171717174, 0.8276292335115866, 0.7677361853832443, 0.8754010695187165, 0.809090909090909, 0.7853832442067736, 0.8149732620320856, 0.8133689839572193
0.18181818181818182, 0.8631016042780748, 0.7912655971479501, 0.881283422459893, 0.809090909090909, 0.8089126559714795, 0.8388591800356506, 0.8320855614973262
0.19191919191919193, 0.8631016042780748, 0.7912655971479501, 0.881283422459893, 0.809090909090909, 0.8089126559714795, 0.8388591800356506, 0.8320855614973262
0.20202020202020204, 0.8631016042780748, 0.7912655971479501, 0.881283422459893, 0.809090909090909, 0.8089126559714795, 0.8388591800356506, 0.8320855614973262
0.21212121212121213, 0.8750445632798574, 0.8033868092691622, 0.881283422459893, 0.8270944741532975, 0.8570409982174688, 0.8447415329768271, 0.848098633392751
0.22222222222222224, 0.8750445632798574, 0.8033868092691622, 0.881283422459893, 0.8270944741532975, 0.8570409982174688, 0.8447415329768271, 0.848098633392751
0.23232323232323235, 0.8750445632798574, 0.8033868092691622, 0.881283422459893, 0.8270944741532975, 0.8570409982174688, 0.8447415329768271, 0.848098633392751
0.24242424242424243, 0.8811051693404635, 0.8094474153297684, 0.8873440285204991, 0.832976827094474, 0.8805704099821746, 0.8568627450980392, 0.8580510992275698
0.25252525252525254, 0.8811051693404635, 0.8094474153297684, 0.8873440285204991, 0.832976827094474, 0.8805704099821746, 0.8568627450980392, 0.8580510992275698
0.26262626262626265, 0.8811051693404635, 0.8094474153297684, 0.8873440285204991, 0.832976827094474, 0.8805704099821746, 0.8568627450980392, 0.8580510992275698
0.27272727272727276, 0.8928698752228165, 0.8509803921568627, 0.9228163992869876, 0.8572192513368984, 0.8987522281639929, 0.8866310160427808, 0.8848781937017232
0.2828282828282829, 0.8928698752228165, 0.8509803921568627, 0.9228163992869876, 0.8572192513368984, 0.8987522281639929, 0.8866310160427808, 0.8848781937017232
0.29292929292929293, 0.8928698752228165, 0.8509803921568627, 0.9228163992869876, 0.8572192513368984, 0.8987522281639929, 0.8866310160427808, 0.8848781937017232
0.30303030303030304, 0.8989304812834226, 0.8688057040998217, 0.928698752228164, 0.881283422459893, 0.9222816399286987, 0.8985739750445634, 0.8997623291740938
0.31313131313131315, 0.8989304812834226, 0.8688057040998217, 0.928698752228164, 0.881283422459893, 0.9222816399286987, 0.8985739750445634, 0.8997623291740938
0.32323232323232326, 0.8989304812834226, 0.8688057040998217, 0.928698752228164, 0.881283422459893, 0.9222816399286987, 0.8985739750445634, 0.8997623291740938
0.33333333333333337, 0.904812834224599, 0.8985739750445634, 0.9345811051693405, 0.8930481283422459, 0.9281639928698752, 0.9044563279857398, 0.9106060606060606
