FPR, SVM US AUC = 0.9056 (+/- 0.0107),RF US AUC = 0.9017 (+/- 0.0094),GNB US AUC = 0.8851 (+/- 0.0093),MLP US AUC = 0.9111 (+/- 0.0111),SVM No-US AUC = 0.9115 (+/- 0.0143),RF No-US AUC = 0.9023 (+/- 0.0259),GNB No-US AUC = 0.8921 (+/- 0.0152),MLP No-US AUC = 0.9251 (+/- 0.0141)
0,0,0,0,0,0,0,0,0
0.01010101010101,0.440879382055853,0.303792830263419,0.37106357694593,0.486363636363636,0.40054677109502,0.225901097572444,0.507955273139254,0.452263435298754
0.02020202020202,0.440879382055853,0.307645078233314,0.37106357694593,0.486363636363636,0.40054677109502,0.352299707582699,0.507955273139254,0.452263435298754
0.03030303030303,0.606565656565657,0.55,0.581402257872846,0.59982174688057,0.57259248312891,0.5967260905195,0.544766267671543,0.630279296586375
0.040404040404041,0.606565656565657,0.55050505050505,0.581402257872846,0.59982174688057,0.57259248312891,0.598086226533101,0.544766267671543,0.630279296586375
0.050505050505051,0.606565656565657,0.551010101010101,0.581402257872846,0.59982174688057,0.57259248312891,0.599446362546702,0.544766267671543,0.630279296586375
0.060606060606061,0.670320855614973,0.644979203802733,0.619964349376114,0.673529411764706,0.656169646815428,0.67215408107975,0.666095266243042,0.704866755332249
0.070707070707071,0.670320855614973,0.645306001188354,0.619964349376114,0.673529411764706,0.656169646815428,0.672817430996831,0.666095266243042,0.704866755332249
0.080808080808081,0.670320855614973,0.645632798573975,0.619964349376114,0.673529411764706,0.656169646815428,0.673480780913912,0.666095266243042,0.704866755332249
0.090909090909091,0.733927510398099,0.713042186571598,0.683927510398099,0.739423648247178,0.74666272597409,0.736589330574848,0.699916260282745,0.765499236490813
0.101010101010101,0.733927510398099,0.713042186571598,0.683927510398099,0.739423648247178,0.74666272597409,0.736589330574848,0.699916260282745,0.765499236490813
0.111111111111111,0.733927510398099,0.713042186571598,0.683927510398099,0.739423648247178,0.74666272597409,0.736589330574848,0.699916260282745,0.765499236490813
0.121212121212121,0.770677361853832,0.754931669637552,0.719815805109923,0.778342245989305,0.799325156396237,0.762459977341018,0.744633269297079,0.821166445002709
0.131313131313131,0.770677361853832,0.754931669637552,0.719815805109923,0.778342245989305,0.799325156396237,0.762459977341018,0.744633269297079,0.821166445002709
0.141414141414141,0.770677361853832,0.754931669637552,0.719815805109923,0.778342245989305,0.799325156396237,0.762459977341018,0.744633269297079,0.821166445002709
0.151515151515152,0.813368983957219,0.792780748663102,0.754664289958408,0.815002970885324,0.82018619772425,0.783355499729077,0.7734151027043,0.831116693758928
0.161616161616162,0.813368983957219,0.792780748663102,0.754664289958408,0.815002970885324,0.82018619772425,0.783355499729077,0.7734151027043,0.831116693758928
0.171717171717172,0.813368983957219,0.792780748663102,0.754664289958408,0.815002970885324,0.82018619772425,0.783355499729077,0.7734151027043,0.831116693758928
0.181818181818182,0.832085561497326,0.82756981580511,0.792424242424243,0.846583481877599,0.841037387320822,0.808226195753904,0.789296093788483,0.86192798384316
0.191919191919192,0.832085561497326,0.82756981580511,0.792424242424243,0.846583481877599,0.841037387320822,0.808226195753904,0.789296093788483,0.86192798384316
0.202020202020202,0.832085561497326,0.82756981580511,0.792424242424243,0.846583481877599,0.841037387320822,0.808226195753904,0.789296093788483,0.86192798384316
0.212121212121212,0.848098633392751,0.857456922162804,0.813398692810457,0.877094474153298,0.875848480370425,0.835072163932811,0.822131914684006,0.889749273434806
0.222222222222222,0.848098633392751,0.857456922162804,0.813398692810457,0.877094474153298,0.875848480370425,0.835072163932811,0.822131914684006,0.889749273434806
0.232323232323232,0.848098633392751,0.857456922162804,0.813398692810457,0.877094474153298,0.875848480370425,0.835072163932811,0.822131914684006,0.889749273434806
0.242424242424242,0.85805109922757,0.881105169340464,0.831194295900178,0.892008318478907,0.898694645583961,0.865853898822718,0.856957785330772,0.908595635682971
0.252525252525252,0.85805109922757,0.881105169340464,0.831194295900178,0.892008318478907,0.898694645583961,0.865853898822718,0.856957785330772,0.908595635682971
0.262626262626263,0.85805109922757,0.881105169340464,0.831194295900178,0.892008318478907,0.898694645583961,0.865853898822718,0.856957785330772,0.908595635682971
0.272727272727273,0.884878193701723,0.89795008912656,0.853030303030303,0.906803327391563,0.912590512782622,0.891724545588887,0.869853701788089,0.922491502881631
0.282828282828283,0.884878193701723,0.89795008912656,0.853030303030303,0.906803327391563,0.912590512782622,0.891724545588887,0.869853701788089,0.922491502881631
0.292929292929293,0.884878193701723,0.89795008912656,0.853030303030303,0.906803327391563,0.912590512782622,0.891724545588887,0.869853701788089,0.922491502881631
0.303030303030303,0.899762329174094,0.908882947118241,0.877035056446821,0.921657754010695,0.925506132702823,0.902655041623565,0.878789222205803,0.951268410423132
0.313131313131313,0.899762329174094,0.908882947118241,0.877035056446821,0.921657754010695,0.925506132702823,0.902655041623565,0.878789222205803,0.951268410423132
0.323232323232323,0.899762329174094,0.908882947118241,0.877035056446821,0.921657754010695,0.925506132702823,0.902655041623565,0.878789222205803,0.951268410423132
0.333333333333333,0.910606060606061,0.921657754010695,0.890879382055853,0.931639928698752,0.9403723954485,0.917565637160731,0.893645633220038,0.963208708930594
0.343434343434343,0.910606060606061,0.921657754010695,0.890879382055853,0.931639928698752,0.9403723954485,0.917565637160731,0.893645633220038,0.963208708930594
0.353535353535354,0.9174688057041,0.927540106951872,0.897742127153892,0.93458110516934,0.9403723954485,0.917565637160731,0.901566425299246,0.963208708930594
